wildapricot-textmanager-config,,,,,,,
Wild Apricot Reference,Default Text,English Replacement Text,Alternate Language Text,Notes,Function,Query,Style
Privacy,Privacy,,Confidentialité,,text,#FunctionalBlock1_ctl00_ctl00_privacyTabLabel,
Privacy,Privacy,,Confidentialité,,text,#ctl00_ContentArea_accessTabLink,
Privacy,Show profile to others,,Montrer le profil aux autres,,replace_element,"#FunctionalBlock1_ctl00_ctl00_DetailsToShow_editIncludeMeInDirectoryPanel > label ",
Privacy,Show profile to others,,Montrer le profil aux autres,,replace_element,#FunctionalBlock1_ctl00_ctl00_DetailsToShow_viewIncludeMeInMemberDirectory,
Privacy,Details to show,,Détails à afficher,,replace,#FunctionalBlock1_ctl00_ctl00_DetailsToShow_sectionAdministrationAccess,
Privacy,"(in member directories, forum and blog posts)",,"(dans les annuaires des membres, les forums et les articles de blog)",,replace,#FunctionalBlock1_ctl00_ctl00_DetailsToShow_detailsToShowExplanationLabel,
Privacy,Anybody,,N'importe qui,,replace,#memberFieldTable > tbody > tr:nth-child(1) > td:nth-child(2) > div > div.memberFieldHeadingTitle,
Privacy,Members,,Membres,,replace,#memberFieldTable > tbody > tr:nth-child(1) > td:nth-child(3) > div > div.memberFieldHeadingTitle,
Privacy,No access,,Pas d'accès,,replace,#memberFieldTable > tbody > tr:nth-child(1) > td:nth-child(4) > div > div.memberFieldHeadingTitle,
Privacy,Photo album,,album photo,,replace,#pgFieldLabelDiv > span,
Privacy,Send message form,,Envoyer un message de,,replace,,
Privacy,Membership level,Membership category,Catégorie de membre,,replace,,
Privacy,Linked bundle members,Linked right holders,Vos ayants droit,,replace,,
Privacy,Title,,Titre,,replace,,
Privacy,Last name,,Nom de famille,,replace,,
Privacy,First name,,Prénom,,replace,,
Privacy,Suffix,,Suffixe,,replace,,
Privacy,Position,,Fonction,,replace,,
Privacy,Email,,Courriel,,replace,#memberFieldTable > tbody > tr:nth-child(10) > th > span,
Privacy,Secondary Phone,,Téléphone secondaire,Must be before phone,replace,,
Privacy,Phone,,Téléphone,,replace,#memberFieldTable,
Privacy,Biography,,Biographie,,replace,,
Privacy,Preferred Language,,Langue de communication,,replace,,
Privacy,GDPR,,RGPD,,replace,,
Privacy,Newsletter,,Lettre d'information,,replace,,
Privacy,Other Communications,,Autres communications,,replace,,
Privacy,Membership Number,,Numéro de membre,,replace,,
Privacy,ICA Function(s),,Fonction(s) au sein de l'ICA,,replace,,
Privacy,Invoices,,Factures,,replace,,
Privacy,Name of Institution,,Nom de l'institution,,replace,,
Privacy,Type of institution - Category A,,Type d'institution - Catégorie A,,replace,,
Privacy,Type of institution - Category C,,Type d'institution - Catégorie C,,replace,,
Privacy,Country,,Pays,,replace,,
Privacy,Address 1,,Adresse 1,,replace,,
Privacy,Address 2,,Adresse 2,,replace,,
Privacy,Postal Address,,Adresse postale,,replace,,
Privacy,City,,Ville,,replace,,
Privacy,State / Province,,Département,,replace,,
Privacy,Postal Code,,Code postal,,replace,,
Privacy,Continent,,Continent,,replace,,
Privacy,Secondary email,,Courriel secondaire,,replace,,
,,,,,,,
Privacy,Fax,,Fax,,replace,,
Privacy,Website,,Site Internet,,replace,,
Privacy,Comma,,Publication Comma,,replace,,
Privacy,Billing Address,,Adresse de facturation,,replace,,
Privacy,Reference Number / Purchase Order,,Numéro de référence / Bon de commande,,replace,,
Privacy,LinkedIn,,LinkedIn,,replace,,
Privacy,Twitter,,Twitter,,replace,,
Privacy,Administrative Contact,,Contact administratif,,replace,,
Privacy,Training Contact,,Contactez de Formation,,replace,,
Privacy,Professional Section 1,,Section professionnelle 1,,replace,,
Privacy,Professional Section 2,,Section professionnelle 2,,replace,,
Privacy,Professional Section 3,,Section professionnelle 3,,replace,,
Privacy,Regional Branches,,Branches régionales,,replace,,
Privacy,FPA Role,,Rôle dans le FPA,,replace,,
Privacy,FAN Role,,Rôle dans le FAN,,replace,,
Privacy,ICA Roles,,Rôle au sein de l'ICA,,replace,,
,,,,,,,
Email subscriptions,Emailing preferences,,Préférences de courriel,,Text,#FunctionalBlock1_ctl00_ctl00_Subscriptions_sectionSubscribeToEvents,
Email subscriptions,Subscriptions,,Abonnements aux courriels,,text,#FunctionalBlock1_ctl00_ctl00_Subscriptions_sectionSubscribeToNews,
Email subscriptions,Subscribed,,Sélectionné,,replace,,
Email subscriptions,Automatic event announcements. Receive advance announcements about upcoming events,,Annonces automatiques aux événements. Recevez des annonces en avance sur les événements.,,text,#idEventRemindersContainer > div > div.fieldBody,
Email subscriptions,"Mass emails from administrators, such as newsletters and other important notifications",,"Courriels de masse des administrateurs, tels que des lettres d’information et d'autres notifications importantes.",,replace_element,#idEmailNewsContainer,
Email subscriptions,Forum subscriptions,,Abonnements au Forum,,hide,#FunctionalBlock1_ctl00_ctl00_Subscriptions_sectionSubscribeToForums,
Email subscriptions,You can subscribe for updates in a particular forum or forum topic. Go to forum/topic page to subscribe.,,Vous pouvez vous abonner aux mises à jour faites dans un forum ou un thème de forum particulier. Cliquez sur la page du forum/thème pour vous abonner.,,hide,#FunctionalBlock1_ctl00_ctl00_Subscriptions_memberSubscriptionsDiv > div:nth-child(7) > div > div.fieldBody,
Email subscriptions,Emailing preferences,,Préférences de courriel,,replace_element,#FunctionalBlock1_ctl00_ctl00_Subscriptions_sectionSubscribeToEvents,
Email subscriptions,Emailing preferences are not set,,Les préférences de courriel ne sont pas définies,,replace_element,#FunctionalBlock1_ctl00_ctl00_Subscriptions_casl_tailLabel,
Email subscriptions,I agree to receive emails from this organization according to my subscription settings,,J'accepte de recevoir des courriels de cette organisation en fonction de mes paramètres d'abonnement aux courriel.,,replace_element,#FunctionalBlock1_ctl00_ctl00_Subscriptions_casl_tailLabel,
Email subscriptions,I do not wish to receive email blasts and event announcements from this organization.,,Je ne souhaite pas recevoir de courriels ni d'annonces d'événements de cette organisation.,,replace_element,#idCaslContainer > div > div.fieldBody > label,
Email subscriptions,You can subscribe for updates in a particular forum or forum topic. Go to forum/topic page to subscribe.,,Vous pouvez vous abonner aux mises à jour d'un forum ou d'un sujet de forum particulier. Allez sur la page du forum/sujet pour vous abonner.,,replace_element,#FunctionalBlock1_ctl00_ctl00_Subscriptions_memberSubscriptionsDiv > div:nth-child(8) > div > div.fieldBody,
Email subscriptions,I do not want to receive ICA's newsletter,,Je ne veux pas recevoir le bulletin d'information de l'ICA,,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl13_RadioGroup14258905 > div > span.label > label > span,
Email subscriptions,I do not want to receive ICA's other communications,,Je ne veux pas recevoir d'autres communications de l’ICA.,,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl14_RadioGroup14258906 > div > span.label > label > span,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
My events registrations,,,,Show it again,Inactive,#ctl00_ContentArea_registrationsTabLabel,
My events registrations,Filter by,,Filtrer par:,,replace,#eventRegistrations > div > div.genericListHeaderContainer > table > tbody > tr > td.filter > div.eventHeaderLabel > span,
My events registrations,Search,,Chercher,,replace,#eventRegistrations > div > div.genericListHeaderContainer > table > tbody > tr > td.searchBox.eventSearch > div.eventHeaderLabel > span,
My events registrations,All,,Tout,,replace,#eventRegistrationsFilter > option:nth-child(1),
My events registrations,Upcoming,,A venir,,replace,#eventRegistrationsFilter > option:nth-child(2),
My events registrations,Past,,Passé,,replace,#eventRegistrationsFilter > option:nth-child(3),
My events registrations,Records found: ,Record(s) found:,Résultat(s) trouvé(s):,,replace,#eventRegistrations > div > div.genericListHeaderContainer > table > tbody > tr > td.infoContainer > div > span,
My events registrations,No event registrations found.,,Aucune inscription aux événements trouvée,,replace,#noRecordsLabel,
My events registrations,Event,,Un événement,,replace,#membersTable > thead > tr > th.firstTh,
My events registrations,Registration type,,Type d'inscription,,replace,#membersTable > thead > tr > th:nth-child(2),
My events registrations,Status,,Statut,,replace,.eventsRegistrationsMainContainer,
My events registrations,Members Category,,Catégorie de membres,,replace,.eventsRegistrationsMainContainer,
My events registrations,Member registration,,Inscription des membres,,replace,.eventsRegistrationsMainContainer,
My events registrations,Confirmed,,**Confirmed***,,replace,.eventsRegistrationsMainContainer,
My events registrations,"Invoiced, not paid",,"**Invoiced, not paid***",,replace,.eventsRegistrationsMainContainer,
,,,,,,,
,,,,,,,
Membership Details,Membership Details,,Détails de l'adhésion,,text,#idCaptionMembershipDetailsContainer > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4,
Membership Details,Bundle,Institutional Membership,Adhésion Institutionnelle,,replace,.levelBundle,
Membership Details,up to,,jusqu'à,,replace,.levelBundle,
Membership Details,members,rights holders,ayants droit,,replace,.levelBundle,
Membership Details,Bundle,Institutional Membership,Adhésion Institutionnelle,Must come after “members”,replace,.levelBundle,
Membership Details,Subscription period:,,Période d’adhésion :,Ss,replace,#FunctionalBlock1_ctl00_ctl00_Membership_sharedMembershipLevelView_renewal,
Membership Details,year,,année,,replace,#FunctionalBlock1_ctl00_ctl00_Membership_sharedMembershipLevelView_renewal,
Membership Details,on:,,le :,,replace,#FunctionalBlock1_ctl00_ctl00_Membership_sharedMembershipLevelView_renewal,
Membership Details,November,,Novembre,,replace,,
Membership Details,December,,Décembre,,replace,,
Membership Details,January,,Janvier,,replace,,
Membership Details,February,,Février,,replace,,
Membership Details,March,,Mars,,replace,,
Membership Details,April,,Avril,,replace,,
Membership Details,May,,Mai,,replace,,
Membership Details,June,,Juin,,replace,,
Membership Details,July,,Juillet,,replace,,
Membership Details,August,,Août,,replace,,
Membership Details,September,,Septembre,,replace,,
Membership Details,October,,Octobre,,replace,,
Membership Details,No automatically recurring payments,,Pas de paiements récurrents automatiques,,hide,.levelRecurring,
Membership Details,0th,,Initial,,replace,,
Membership Details,1st,,1er,,replace,,
Membership Details,2nd,,2,,replace,,
Membership Details,3rd,,3,,replace,,
Membership Details,4th,,4,,replace,,
Membership Details,5th,,5,,replace,,
Membership Details,6th,,6,,replace,,
Membership Details,7th,,7,,replace,,
Membership Details,8th,,8,,replace,,
Membership Details,9th,,9,,replace,,
Membership Details,1th,,1er,,replace,,
Membership Details,2th,,2,,replace,,
Membership Details,3th,,3,,replace,,
Membership Details,Active,,Actif,,replace_element,#idMemberStatusContainer > div > div.fieldBody > strong,
Membership Details,Active,,Actif,,replace_element,#idInfoContainer > div.infoContainer > div > div > div > div > div > div > div > div > div > div > div.kvTable > div > div:nth-child(3) > div.infoText,
Membership Details,Lapsed,,Expiré,,replace_element,#idMemberStatusContainer > div > div.fieldBody > strong,
Membership Details,Lapsed,,Expiré,,replace_element,#idInfoContainer > div.infoContainer > div > div > div > div > div > div > div > div > div > div > div.kvTable > div > div:nth-child(3) > div.infoText,
Membership Details,Suspended,,Suspendu,,replace_element,#idMemberStatusContainer > div > div.fieldBody > strong,
Membership Details,Suspended,,Suspendu,,replace_element,#idInfoContainer > div.infoContainer > div > div > div > div > div > div > div > div > div > div > div.kvTable > div > div:nth-child(3) > div.infoText,
Membership Details,Pending - New,,En cours - Nouveau,,replace_element,#idMemberStatusContainer > div > div.fieldBody > strong,
Membership Details,Pending - New,,En cours - Nouveau,,replace_element,#idInfoContainer > div.infoContainer > div > div > div > div > div > div > div > div > div > div > div.kvTable > div > div:nth-child(3) > div.infoText,
Membership Details,Pending - Renewal,,En cours - En attente de renouvellement,,replace_element,#idMemberStatusContainer > div > div.fieldBody > strong,
Membership Details,Pending - Renewal,,En cours - En attente de renouvellement,,replace_element,#idInfoContainer > div.infoContainer > div > div > div > div > div > div > div > div > div > div > div.kvTable > div > div:nth-child(3) > div.infoText,
,,,,,,,
Membership Details,Membership status,,Statut du membre,,text,div.fieldLabel span:contains(Membership status),
Membership Details,Member since,,Membre depuis le,,text,div.fieldLabel span:contains(Member since),
Membership Details,Renewal due,,Prochaine cotisation,,text,div.fieldLabel span:contains(Renewal due),
Membership Details,Renewal date last changed,,Dernier changement de la date de renouvellement,,text,div.fieldLabel span:contains(Renewal date last changed),
Membership Details,Level last changed,,Dernier changement du niveau d'adhésion,,text,div.fieldLabel span:contains(Level last changed),
Membership Details,Notes,,Remarques,,text,div.fieldLabel span:contains(Notes),
Membership Details,User ID,,ID Utilisateur,,text,div.fieldLabel span:contains(User ID),
Membership Details,Profile last updated,,Dernière mise à jour du profil,,text,div.fieldLabel span:contains(Profile last updated),
Membership Details,Last login,,Dernière connexion,,text,div.fieldLabel span:contains(Last login),
Membership Details,Updated by,,Mis à jour par,,text,div.fieldLabel span:contains(Updated by),
Membership Details,Balance,,Solde,,text,div.fieldLabel span:contains(Balance),
Membership Details,Last login,,Dernière connexion,,text,div.fieldLabel span:contains(Last login),
Membership Details,Updated by,,Mis à jour par,,text,div.fieldLabel span:contains(Updated by),
Membership Details,Balance,,Solde,,text,div.fieldLabel span:contains(Balance),
Membership Details,Year of Membership,,Année d'adhésion,,text,div.fieldLabel span:contains(Year of Membership),
Membership Details,Reference / Purchase Order,,Référence / Bon de commande,,text,div.fieldLabel span:contains(Reference / Purchase Order),
Invoice and Payments, Jan ,,Jan,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Feb ,,Fév,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Mar ,,Mar,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Apr ,,Avr,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, May ,,Mai,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Jun ,,Juin,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Jul ,,Juil,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Aug ,,Août,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Sep ,,Sep,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Oct ,,Oct,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Nov ,,Nov,,replace,#idSectionMembershipLevelContainer,
Invoice and Payments, Dec ,,Déc,,replace,#idSectionMembershipLevelContainer,
,,,,,,,
,,,,,,,
Bundle Summary,Bundle Summary,Summary of the rights holders,Récapitulatif des ayants droit,,text,#idCaptionGroupAccountContainer > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4,
Bundle Summary,Bundle limit,Maximum number of rights holders,Nombre maximal d'ayants droit,,text,div.fieldLabel span:contains(Bundle limit),
Bundle Summary,Used so far,,Nombre actuel d’ayants droit,,text,div.fieldLabel span:contains(Used so far),
Bundle Summary,Your members,,Vos ayants droit,,text,div.fieldLabel span:contains(Your members),
Bundle Summary,New Member,,Nouvelle participant,,replace_element,#FunctionalBlock1_ctl00_ctl00_groupAccountSummary_participantListRepeater_ctl00_memberProfileLink,
Bundle Summary,New Member,,Nouvelle participant,,replace_element,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_wizardMemberForm_groupSummary_participantsList_ctl00_memberProfileLink,
Bundle Summary,Add member,Add rights holder   ,Ajouter un ayant droit,,button,#FunctionalBlock1_ctl00_ctl00_groupAccountSummary_addNewMemberButton,
Bundle Summary,You are viewing a bundle member record.,You are viewing a rights holder record.,Vous consultez l'enregistrement d'un ayant droit.,,replace_element,#FunctionalBlock1_ctl00_ctl00_groupMemberProfileWarningBox_messageText,
Bundle Summary,Return to bundle list and your own profile,Return to rights holders list and your own profile,Retour à la liste des ayant droits et à votre propre profil.,,replace_element,#FunctionalBlock1_ctl00_ctl00_groupMemberProfileWarningBox_messageText > a,
Bundle Summary,Archive,,Archiver,,button,#FunctionalBlock1_ctl00_ctl00_archiveButtonTop,
Bundle Summary,Archive,,Archiver,,button,#FunctionalBlock1_ctl00_ctl00_archiveButtonBottom,
,,,,,,,
Personal Information,Personal Information,,Informations personnelles,,text,#idCaptionContainer14258902 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Personal Information,Title,,Titre,,text,div.fieldLabel span:contains(Title),
Personal Information,Last name,,Nom de famille,,text,div.fieldLabel span:contains(Last name),
Personal Information,First name,,Prénom,,text,div.fieldLabel span:contains(First name),
Personal Information,Suffix,,Suffixe,,text,div.fieldLabel span:contains(Suffix),
Personal Information,Position,,Fonction,,text,div.fieldLabel span:contains(Position),
Personal Information,What is your occupation?,,Quelle est votre occupation?,,replace_element,#idContainer14095346 > div > table > tbody > tr > td.right > div > div,
Personal Information,Email,,Courriel,,text,div.fieldLabel span:contains(Email),
Personal Information,Phone,,Téléphone,,text,div.fieldLabel span:contains(Phone),
Personal Information,Biography,,Biographie,,text,div.fieldLabel span:contains(Biography),
Personal Information,Preferred Language,,Langue de communication,,text,div.fieldLabel span:contains(Preferred Language),
Personal Information,Choose File,,Choisir un fichier,,hide,#idContainer14095347,
Personal Information,No file selected,,**No file selected***,,hide,#idContainer14095347,
Personal Information,Choose file,,,,hide,#attachmentsFunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl20_UploadAttachments14371471 > div.attachmentsUploadContainer > label,
Personal Information,,,,Don’t allow to upload invoices,hide,#attachmentsFunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl20_UploadAttachments14371471 > div.attachmentsUploadContainer,
,,,,,,,
Permissions,Permissions,,Autorisations,,text,#idCaptionContainer14258904 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Permissions,GDPR,,RGPD,,text,div.fieldLabel span:contains(GDPR),
Permissions,Newsletter,,Lettre d'information,,text,div.fieldLabel span:contains(Newsletter),
Permissions,Other Communications,,Autres communications,,text,div.fieldLabel span:contains(Other Communications),
Permissions,I do not want to receive ICA's newsletter,,Je ne souhaite pas recevoir la newsletter de l'ICA,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl13_RadioGroup14258905 > div > span.label > label > span,
Permissions,I do not want to receive ICA's newsletter,,Je ne souhaite pas recevoir la newsletter de l'ICA,,text,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl13_RadioGroup14258905 > div > span.label > label > span,
Permissions,I do not want to receive ICA's other communications,,Je ne souhaite pas recevoir d'autres communications de l'ICA,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl14_RadioGroup14258906 > div > span.label > label > span,
Permissions,I do not want to receive ICA's other communications,,Je ne souhaite pas recevoir d'autres communications de l'ICA,,text,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl14_RadioGroup14258906 > div > span.label > label > span,
,,,,,,,
Permissions,Check this if you do not want to receive ICA's Newsletter,,Sélectionnez cette option si vous ne souhaitez pas recevoir la newsletter de l'ICA,,text,#idContainer14258905 > div > table > tbody > tr > td.right > div > div.typeInstruction,
Permissions,Check this if you do not want to receive ICA's other communications,,Sélectionnez cette option si vous ne souhaitez pas recevoir d'autres communications de l'ICA,,text,#idContainer14258906 > div > table > tbody > tr > td.right > div > div.typeInstruction,
,,,,,,div.fieldLabel span:contains(),
Subscription,Update my profile,,Mettre à jour mon profil,,text,#FunctionalBlock1_ctl00_updateProfileLink,
Subscription,Subscription form,,Formulaire d'abonnement,,replace_element,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div.formOuterContainer > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div > div > div > div > div > div > div > div > div > div > h3,
Subscription,Subscribe,,S’abonner,,button,#FunctionalBlock1_ctl00_subscribeButton,
,,,,,,div.fieldLabel span:contains(),
Membership Information,Membership Information,,Informations sur l'adhésion,,text,#idCaptionContainer14259358 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Membership Information,Membership Number,,Numéro de membre,,text,div.fieldLabel span:contains(Membership Number),
Membership Information,ICA Function(s),,Fonction(s) au sein de l'ICA,,text,div.fieldLabel span:contains(ICA Function(s)),
Membership Information,Invoices,,Factures,,text,div.fieldLabel span:contains(Invoices),
Membership Information,Membership ID,,Identifiant de membre,,text,div.fieldLabel span:contains(Membership ID),
Membership Information,Membership Type,,Type d'adhésion,,text,div.fieldLabel span:contains(Membership Type),
Membership Information,Remove / change,,Supprimer / Changer,,replace_element,#removePictureLink,
Membership Information,"Please use the ""choose file"" button to upload a picture of yourself.",,"Veuillez utiliser le bouton ""choisir un fichier"" et le lien ""supprimer / modifier"" pour télécharger une photo de vous.",,replace,#idContainer14095347 > div > table > tbody > tr > td.right > div,
Membership Information,Choose files,,Choisir un facture,,hide,#attachmentsFunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl19_UploadAttachments14371471 > div.attachmentsUploadContainer,
Membership Information,Choose files,,,,hide,#attachmentsFunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl20_UploadAttachments14371471 > div.attachmentsUploadContainer,
,You can upload up to 20 files. Each file should be less than 20 MB.,,,,hide,#attachmentsFunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl19_UploadAttachments14371471 > div.attachmentsUploadContainer > div,
,files,,Factures,,replace,#attachmentsListFunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl19_ViewAttachments14371471,
,Most recent invoices,,Mes 20 dernières factures,,replace,#idContainer14371471 > div > table > tbody > tr > td.right > div > div,
,up to,,-,,replace,#idContainer14371471 > div > table > tbody > tr > td.right > div > div,
,,,,,,,
Institution Information,Institution Information,,Informations sur l'institution,,text,#idCaptionContainer14258907 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Institution Information,Name of Institution,,Nom de l'institution,,text,div.fieldLabel span:contains(Name of Institution),
Institution Information,Type of institution - Category A,,Type d'institution - Catégorie A,,text,div.fieldLabel span:contains(Type of institution - Category A),
Institution Information,Central archives of a member state of a federal country,,Archives centrales d'un Etat membre d'un Etat fédéral,,replace,,
Institution Information,Directorate of archives of a member state of a federal country,,Direction des archives d'un Etat membre d'un Etat fédéral,,replace,,
Institution Information,National directorate of archives,,Direction nationale des archives,,replace,,
Institution Information,National or Federal archives,,Archives nationales ou fédérales (institution centrale),,replace_element,,
Institution Information,central institution,,institution centrale,,Inactive,,
Institution Information,Type of institution - Category C,,Type d'institution - Catégorie C,,text,div.fieldLabel span:contains(Type of institution - Category C),
Institution Information,International institution,,Institution internationale,,replace,,
Institution Information,Local institution,,Institution locale,,replace,,
Institution Information,National institution,,Institution nationale,,replace,,
Institution Information,Territorial institution,,Institution territoriale,,replace,,
Institution Information,Category,,Catégorie,,text,div.fieldLabel span:contains(Category),
,,,,,,,
Address,Country,,Pays,,text,div.fieldLabel span:contains(Country),
Address,Address 1,,Adresse 1,,text,div.fieldLabel span:contains(Address 1),
Address,Street / postal address,,Nom de rue / adresse postale,,,#idContainer14135027 > div > table > tbody > tr > td.right > div > div,
Address,Address 2,,Adresse 2,,text,div.fieldLabel span:contains(Address 2),
Address,Postal Address,,Adresse postale,,text,div.fieldLabel span:contains(Postal Address),
Address,City,,Ville,,text,div.fieldLabel span:contains(City),
Address,State / Province,,Région / Etat,,text,div.fieldLabel span:contains(State / Province),
Address,Postal Code,,Code postal,,text,div.fieldLabel span:contains(Postal Code),
Address,Continent,,Continent,,text,div.fieldLabel span:contains(Continent),
Address (must be after other addresses),Address,,Adresse,,text,#idCaptionContainer14258909 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
,,,,,,,
Contact Details,Contact Details,,Coordonnées du contact,,text,#idCaptionContainer14259015 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Contact Details,Institution,,Institution,,text,div.fieldLabel span:contains(Institution),
